"","exposure","outcome","id.exposure","id.outcome","samplesize","SNP","b","se","p"
"1","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs10036748",0.498762988619495,0.222662048490846,0.0250909228718931
"12","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs244689",0.0169278996865204,0.289655172413793,0.953396912472163
"13","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs2618473",0.33899721448468,0.142618384401114,0.0174563063012538
"14","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs2841281",0.351267459906881,0.21107087428867,0.0960693344292768
"15","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs3800387",-1.63720392836511,0.637781629116118,0.010257403778778
"16","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs4134466",0.172284644194757,0.189606741573034,0.363539142024145
"17","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs41430444",0.427689307767306,0.232694182645434,0.0660640517468656
"18","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs451263",0.857493104505057,0.292062519154153,0.00332483319781785
"19","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs4731532",0.707481162540366,0.108180839612487,6.16007461410698e-11
"20","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs4930642",0.392979452054795,0.591181506849315,0.506219556425001
"21","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs5029937",0.415400350672122,0.21843950905903,0.0572140171055614
"22","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs55701306",-1.23766546329723,0.484356197352587,0.0106102560809296
"23","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs620088",0.2426614481409,0.219178082191781,0.268232168682534
"24","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs6941485",0.204031465093412,0.224188790560472,0.362776250569969
"25","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs6993775",0.361232005356545,0.177435554067626,0.0417655146462356
"26","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs7097397",0.039832285115304,0.174423480083857,0.819362197557163
"27","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs7486387",-0.155885471898197,0.313361611876988,0.618863343617697
"28","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs7650774",0.2853170189099,0.334816462736374,0.394125589206183
"29","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs9269627",0.166097669585869,0.0828261837613181,0.0449228287124327
"30","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs9387400",-0.0637007077856421,0.136164475901584,0.639912042349477
"31","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"All - Inverse variance weighted",0.289239172179691,0.0623632740345482,3.51842979795886e-06
"32","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"All - MR Egger",0.420828080180639,0.170167000038371,0.0197328371505396
